2070 0.00432592 48 99360
2080 0.00438097 48 99840
2090 0.00457617 47 98230
2100 0.00458976 47 98700
2110 0.00452335 47 99170
2120 0.00453334 47 99640
2130 0.00434694 46 97980
2140 0.00463062 46 98440
2150 0.00469406 46 98900
2160 0.00442739 46 99360
2170 0.00453449 46 99820
2180 0.00454452 45 98100
2190 0.00454613 45 98550
2200 0.00429044 45 99000
2210 0.00414857 45 99450
2220 0.0043368 45 99900
2230 0.00439964 44 98120
2240 0.00455406 44 98560
2250 0.00433559 44 99000
2260 0.00460024 44 99440
2270 0.00441895 44 99880
2280 0.00444389 43 98040
2290 0.0040697 43 98470
2300 0.00420241 43 98900
2310 0.00433548 43 99330
2320 0.00424296 43 99760
2330 0.00433872 42 97860
2340 0.00455896 42 98280
2350 0.00463955 42 98700
2360 0.00470192 42 99120
2370 0.0047526 42 99540
2380 0.00467269 42 99960
2390 0.00454518 41 97990
2400 0.0044291 41 98400
2410 0.00415508 41 98810
2420 0.0044607 41 99220
2430 0.00457602 41 99630
2440 0.00458255 40 97600
2450 0.00454503 40 98000
2460 0.00434508 40 98400
2470 0.00447602 40 98800
2480 0.00434384 40 99200
2490 0.00454999 40 99600
2500 0.00461303 40 100000
2510 0.00492274 39 97890
2520 0.00486427 39 98280
2530 0.00445655 39 98670
2540 0.00458643 39 99060
2550 0.00434827 39 99450
2560 0.00403864 39 99840
2570 0.00437698 38 97660
2580 0.00440995 38 98040
2590 0.0045078 38 98420
2600 0.0045154 38 98800
2610 0.00480199 38 99180
2620 0.00476317 38 99560
2630 0.00453762 38 99940
2640 0.00447075 37 97680
2650 0.00459563 37 98050
2660 0.00434888 37 98420
2670 0.00454047 37 98790
2680 0.00464869 37 99160
2690 0.00454582 37 99530
2700 0.00490657 37 99900
2710 0.00465372 36 97560
2720 0.00471313 36 97920
2730 0.00484275 36 98280
2740 0.00484876 36 98640
2750 0.00449655 36 99000
2760 0.00442415 36 99360
2770 0.00464097 36 99720
2780 0.00453629 35 97300
2790 0.00457804 35 97650
2800 0.00477877 35 98000
2810 0.00503088 35 98350
2820 0.00442091 35 98700
2830 0.00446128 35 99050
2840 0.00424434 35 99400
2850 0.00446406 35 99750
2860 0.0047053 34 97240
2870 0.00473686 34 97580
2880 0.00465203 34 97920
2890 0.00452244 34 98260
2900 0.00471737 34 98600
2910 0.00509924 34 98940
2920 0.00491039 34 99280
2930 0.00480412 34 99620
